key_id,mid,following_num,follower_num
1,1340508433,21,166266
2,3546563601238834,3,508019
3,7584632,134,8362052
4,7349,140,2258730
5,300882562,9,97954
6,393166851,137,3412482
7,1993382031,195,732
8,401742377,57,18923144
9,98627270,320,5106049
10,50329118,91,14028928
11,692277525,29,555980
12,11720519,307,69154
13,388477943,31,1136447
14,436152539,33,767920
15,22089099,12,1523374
16,39756291,382,6964
17,2051617240,101,1422173
18,85754245,68,1700307
19,11814319,288,182317
20,472013291,76,315185
21,2733216,73,1464303
22,5087326,19,51416
23,444279766,145,253510
24,34009507,83,1233643
25,365673386,832,362
26,472426055,288,262177
27,1155574439,20,1728494
28,7487399,711,4775167
29,690748574,1,2637695
30,11352614,377,560826
31,1857280691,1389,6441
32,334260848,37,21960
33,2083634390,135,947836
34,7788379,403,7712829
35,23947287,366,7411517
36,15634833,1,5450097
37,279704683,969,391761
38,11164088,562,1722954
39,672643223,60,674
40,412630000,367,254372
41,2008066013,50,246220
42,55051092,825,419637
43,5870268,166,6387388
44,668942262,3,503236
45,293753863,586,115819
46,3493297970481291,2,261929
47,27899754,84,1286966
48,75845535,273,425251
49,14690240,299,43635
50,649661652,12,1641137
51,226753644,205,17794
52,3913194,286,3979897
53,551188239,307,1778580
54,38606568,155,1067210
55,95515699,31,3929813
56,15892313,12,2054512
57,1634447815,36,186972
58,3546376524794441,16,326648
59,3546384565274965,10,10874
60,57592895,134,1117087
61,362136024,43,4953
62,475845053,124,740214
63,1007043700,110,1773741
64,485704862,79,1659341
65,11643866,773,1244521
66,25987061,29,359806
67,1986039004,59,1938575
68,437414077,80,48541
69,393116415,42,732277
70,19642758,490,4166004
71,1369831472,40,227860
72,25334643,168,659552
73,5321968,37,531697
74,1351956412,2,10331
75,94281836,353,3093507
76,1946720965,464,322618
77,6336952,218,1385660
78,3546374687689501,1,11069
79,692206640,2,1407676
80,9728698,75,1744424
81,3670216,4,6156590
82,25828081,453,95831
83,33775467,1,2438687
84,90361813,1307,5343675
85,1983705001,3,196819
86,304207312,351,446221
87,848939,520,195344
88,304815404,29,232214
89,3493114834585984,15,22513
90,68439967,29,1495021
91,26846937,140,379236
92,397211154,70,527997
