key_id,mid,following_num,follower_num,following_id
16,39756291,382,6964,58449219;499211624;356084798;1683479;1269265572;192532117;36417437;3493110761916771;272791175;384558379;534783827;1665228366;226908323;371966591;499100537;386005990;318897716;15711488;2742391;4186021;510676556;15782465;518876755;10154196;1121818377;81556943;1428923;105493566;3493282606746434;32289484;403869;334537849;652239032;179382157;13891364;2044333698;261485584;265910747;2127014479;382731410;476738879;92619484;1883687829;481565203;87680858;1616032167;1512627053;449333549;178995255;12443729;508215481;9709867;24343339;391769584;3493135355218667;278020801;98112103;485578465;488738478;355602665;10485312;1487067629;374703854;43813059;1748186868;4522363;38068403;39180492;10119428;93629585;29296192;513963666;14871346;1920253;550674844;397286677;328852437;297594331;1858969734;344934966;41109777;1873141867;382981160;2069780561;22928023;669284783;1803198;387485900;1421797450;1889545341;439478093;1920119491;8991240;12627222;229531337;57214324;382189062;669154966;2029306;8893909
17,2051617240,101,1422173,forbidden
18,85754245,68,1700307,1257954297;1343321779;347667464;11870568;401923647;473222648;518595408;452852981;304578055;417014129;12193084;492840942;285868415;439478093;636477470;52190805;480955546;163637592;2026561407;49746395;98627270;329519036;170939974;1732191677;611068158;11270116;233658087;661849085;311871090;338927049;337521240;288711073;90183256;32685766;489412051;235555226;19577966;414641554;436029736;1420982;517503854;11914415;485945015;485099197;484471495;380365313;12861708;243872957;481838232;562197;394067394;32708316;32708657;275066658;405221209;437316738;29329085;280793434;2920960;546195;196356191;37090048;30643878;1852181;164139557;466272;247158031;1532165
19,11814319,288,182317,forbidden
20,472013291,76,315185,forbidden
21,2733216,73,1464303,forbidden
22,5087326,19,51416,1453409239;492840942;432232468;520819684;323794482;473532576;686150641;473222648;3493109530888358;323604454;477203587;2057244674;33159465;1208765097;32077060;25175185;8731060;1644053613;485704862
23,444279766,145,253510,forbidden
24,34009507,83,1233643,forbidden
25,365673386,832,362,1446016162;2127878719;2090086315;482397105;31399640;17600023;220004422;3493137859218035;1620762247;680201818;2051617240;1550393658;1141159409;386603428;32533840;1482025194;628504813;471259688;1190450198;1821838608;25553835;2087741451;3494380272880443;67610576;3494354805066557;515468594;511599513;515687504;46749593;524651318;1533654713;107463913;79029700;386507302;697166795;385147;1654298561;1906343243;68374156;316504094;10715694;1834587;1694239830;1372423254;43942687;350043638;496665829;400109234;488055582;406571957;438078055;1876272202;301383382;343055119;1288297275;355546736;470512814;8343376;179816950;1838326986;12590;65325231;404620188;633769242;349492462;3493081112381925;24478532;1359595399;2766041;3493075355699502;1335713025;3461565701425386;438305645;485539382;292539548;470825833;3493081829608304;1947293994;1692718035;398851;512424283;492753564;527523140;475855046;1350658227;34946844;1859020467;1372500423;423738152;1905816015;297949990;1190493829;473165885;7762500;583284249;611501677;23191782;414108835;9918732;97099717
26,472426055,288,262177,1453409239;337279814;3537115310721781;3461581123881467;1986130794;3461579184015582;34688208;323976091;20530305;265004917;3494369030048374;26607148;458154144;3493284850699037;299013902;671655664;249448995;3493297743988887;1688563568;1437599419;25142222;2744131;473222648;400631146;312766141;293673997;237844904;1517060220;431199225;666726796;434563422;485401838;1111222941;354029311;1210816252;348922477;1365540467;36730791;96005382;486487953;8704649;1445366853;1870096460;1379820;478362096;523637998;551852678;3461565017754459;666726798;668479385;1310829302;33824345;1978885142;1503235214;1206012073;690768584;62093667;1795147802;1875044092;1669777785;1811071010;1778026586;2018113152;2029137739;319762851;11783021;1496719677;4327532;147546636;7056535;592726738;524657885;28822458;1265652806;174501086;161775300;267032877;1856528671;1308924026;646019;434563934;403927583;436596839;1340190821;407106379;23207205;400813602;507866514;23947287;1265680561;1883330;1042854135;326371554;1397117;256667467;1895683714;7233069;1257649129;1810823867;375375
27,1155574439,20,1728494,forbidden
28,7487399,711,4775167,1367021650;3493260093819171;286187082;498585626;9709867;389753049;3461567056185947;70744200;477782158;3546382415693924;264740735;3493270803974611;1212787861;315781946;260709973;66391032;441935992;39169832;630874464;364444803;78507973;45097284;75930105;11463180;430969192;458165375;1382555;25637408;50037085;2065615514;1220617185;333849444;479537605;2034162641;515782245;34728585;651193262;526367883;1304893235;495419424;272240352;178690106;276928941;312543233;3493270525053175;52165725;1140672573;474698100;696514243;1560647384;473887933;434656505;470297640;432733609;277972777;14118553;260152512;396000729;1985428914;381396513;48455786;447972187;475912512;362842306;3493122319321268;483790904;1280231019;367413928;243566998;405261267;514924891;386943950;3493077182319124;1804851699;25503580;291042076;1497263761;1535344607;31898841;26846937;35814994;351739137;470226708;3393923;435203110;652137183;519872016;365212208;8047632;112037663;166788439;437600648;340381722;28407526;13017755;700823597;96012146;1889049289;1508322881;474853499
29,690748574,1,2637695,510167241
30,11352614,377,560826,forbidden
31,1857280691,1389,6441,643873396;482127350;3461576224934868;56633420;1178656210;3493124879944470;2048266905;1611419738;3493132178033522;1345494096;3546383053228649;3493129996994735;1492503241;3493087714216147;3493132018649387;1978102260;3493145356536017;3493113156864270;3493086934075443;3493132203199263;2079045999;2042719127;3461572817062568;1143219626;2102538594;1273603990;688487119;3493132329028177;3493136686909910;1483865837;687927364;2007842148;1069155914;1811807078;380071414;1923073504;1349466732;661098548;1594688835;1101013101;1296132409;651501333;3494379996056129;3493295619574327;1686711337;592681415;1920409742;1899578688;50665010;1277569645;267979837;1528004040;3493134596049031;3493131832003003;696468770;3494373761223178;3493267402394164;1790109515;502312264;3493134602340874;3494357705427124;1727205350;3493122034109379;1786424557;3493137242655663;3493134910622304;580677826;3537105282140481;3537119890901905;3537111586179297;13492292;1518963923;302530098;1672694335;3537109040237151;321270149;475793648;110770674;39658153;3493133205637145;581523227;1990989942;3493083954022727;610037456;1439273272;1199422275;3493120400427851;2046998083;3461575822281522;351137455;1548213335;3537120811551402;223428513;1832068952;1334896437;699079537;182547046;358448174;3493132058495687;3493132268210280
